area,index,starttime,endtime
A41/42,355,74.21875,74.359375,
A41/42,356,74.375,74.515625,
A41/42,357,74.53125,74.671875,
A41/42,358,74.6875,74.828125,
A41/42,359,74.84375,74.984375,
A41/42,360,75.3125,75.453125,
A41/42,361,75.46875,75.609375,
A41/42,362,75.625,75.765625,
A41/42,363,75.78125,75.921875,
A41/42,364,75.9375,76.078125,
A41/42,365,76.09375,76.234375,
A41/42,366,76.5625,76.703125,
A41/42,367,76.71875,76.859375,
A41/42,368,76.875,77.015625,
A41/42,369,77.03125,77.171875,
A41/42,370,77.1875,77.328125,
A41/42,371,77.34375,77.484375,
A41/42,372,77.8125,77.953125,
A41/42,373,77.96875,78.109375,
A41/42,374,78.125,78.265625,
A41/42,375,78.28125,78.421875,
A41/42,376,78.4375,78.578125,
A41/42,377,78.59375,78.734375,
A41/42,378,79.0625,79.203125,
A41/42,379,79.21875,79.359375,
A41/42,380,79.375,79.515625,
A41/42,381,79.53125,79.671875,
A41/42,382,79.6875,79.828125,
A41/42,383,79.84375,79.984375,
A41/42,384,80.3125,80.453125,
A41/42,385,80.46875,80.609375,
A41/42,386,80.625,80.765625,
A41/42,387,80.78125,80.921875,
A41/42,388,80.9375,81.078125,
A41/42,389,81.09375,81.234375,
A41/42,390,81.25,81.390625,
A41/42,391,81.40625,81.546875,
A41/42,392,81.5625,81.703125,
A41/42,393,81.71875,81.859375,
A41/42,394,81.875,82.015625,
A41/42,395,82.03125,82.171875,
A41/42,396,82.1875,82.328125,
A41/42,397,82.34375,82.484375,
A41/42,398,82.8125,82.953125,
A41/42,399,82.96875,83.109375,
A41/42,400,83.125,83.265625,
A41/42,401,83.28125,83.421875,
A41/42,402,83.4375,83.578125,
A41/42,403,83.59375,83.734375,
A41/42,404,83.75,83.890625,
A41/42,405,83.90625,84.046875,
A41/42,406,84.0625,84.203125,
A41/42,407,84.21875,84.359375,
A41/42,408,84.375,84.515625,
A41/42,409,84.53125,84.671875,
A41/42,410,84.6875,84.828125,
A41/42,411,84.84375,84.984375,
A41/42,412,85.0,87.25,
A41/42,413,85.0,87.25,
A41/42,414,85.0,87.25,
A41/42,415,0.0,1.125,
A41/42,416,0.15625,1.1875,
A41/42,417,1.25,2.375,
A41/42,418,1.40625,2.4375,
A41/42,419,2.5,3.625,
A41/42,420,2.65625,3.6875,
A41/42,421,3.75,4.875,
A41/42,422,3.90625,4.9375,
A41/42,423,5.0,6.125,
A41/42,424,5.15625,6.1875,
A41/42,425,6.25,7.375,
A41/42,426,6.40625,7.4375,
A41/42,427,7.5,8.625,
A41/42,428,7.65625,8.6875,
A41/42,429,8.75,9.875,
A41/42,430,8.90625,9.9375,
A41/42,431,10.0,11.125,
A41/42,432,10.15625,11.1875,
A41/42,433,11.25,12.375,
A41/42,434,11.40625,12.4375,
A41/42,435,12.5,13.625,
A41/42,436,12.65625,13.6875,
A41/42,437,13.75,14.875,
A41/42,438,13.90625,14.9375,
A41/42,439,15.0,16.125,
A41/42,440,15.15625,16.1875,
A41/42,441,16.25,17.375,
A41/42,442,16.40625,17.4375,
A41/42,443,17.5,18.625,
A41/42,444,17.65625,18.6875,
A41/42,445,18.75,19.875,
A41/42,446,18.90625,19.9375,
A41/42,447,20.0,21.125,
A41/42,448,20.15625,21.1875,
A41/42,449,21.25,22.375,
A41/42,450,21.40625,22.4375,
A41/42,451,22.5,23.625,
A41/42,452,22.65625,23.6875,
A41/42,453,23.75,24.875,
A41/42,454,23.90625,24.9375,
A41/42,455,25.0,26.125,
A41/42,456,25.15625,26.1875,
A41/42,457,26.25,27.375,
A41/42,458,26.40625,27.4375,
A41/42,459,27.5,28.625,
A41/42,460,27.65625,28.6875,
A41/42,461,28.75,29.875,
A41/42,462,28.90625,29.9375,
A41/42,463,30.0,31.125,
A41/42,464,30.15625,31.1875,
A41/42,465,31.25,32.375,
A41/42,466,31.40625,32.4375,
A41/42,467,32.5,33.625,
A41/42,468,32.65625,33.6875,
A41/42,469,33.75,34.875,
A41/42,470,33.90625,34.9375,
A41/42,471,35.0,36.125,
A41/42,472,35.15625,36.1875,
A41/42,473,36.25,37.375,
A41/42,474,36.40625,37.4375,
A41/42,475,37.5,38.625,
A41/42,476,37.65625,38.6875,
A41/42,477,38.75,39.875,
A41/42,478,38.90625,39.9375,
A41/42,479,40.0,41.125,
A41/42,480,40.15625,41.1875,
A41/42,481,41.25,42.375,
A41/42,482,41.40625,42.4375,
A41/42,483,42.5,43.625,
A41/42,484,42.65625,43.6875,
A41/42,485,43.75,44.875,
A41/42,486,43.90625,44.9375,
A41/42,487,45.0,46.125,
A41/42,488,45.15625,46.1875,
A41/42,489,46.25,47.375,
A41/42,490,46.40625,47.4375,
A41/42,491,47.5,48.625,
A41/42,492,47.65625,48.6875,
A41/42,493,48.75,49.875,
A41/42,494,48.90625,49.9375,
A41/42,495,50.0,51.125,
A41/42,496,50.15625,51.1875,
A41/42,497,51.25,52.375,
A41/42,498,51.40625,52.4375,
A41/42,499,52.5,53.625,
A41/42,500,52.65625,53.6875,
A41/42,501,53.75,54.875,
A41/42,502,53.90625,54.9375,
A41/42,503,55.0,56.125,
A41/42,504,55.15625,56.1875,
A41/42,505,56.25,57.375,
A41/42,506,56.40625,57.4375,
A41/42,507,57.5,58.625,
A41/42,508,57.65625,58.6875,
A41/42,509,58.75,59.875,
A41/42,510,58.90625,59.9375,
A41/42,511,60.0,61.125,
A41/42,512,60.15625,61.1875,
A41/42,513,61.25,62.375,
A41/42,514,61.40625,62.4375,
A41/42,515,62.5,63.625,
A41/42,516,62.65625,63.6875,
A41/42,517,63.75,64.875,
A41/42,518,63.90625,64.9375,
A41/42,519,65.0,66.125,
A41/42,520,65.15625,66.1875,
A41/42,521,66.25,67.375,
A41/42,522,66.40625,67.4375,
A41/42,523,67.5,68.625,
A41/42,524,67.65625,68.6875,
A41/42,525,68.75,69.875,
A41/42,526,68.90625,69.9375,
A41/42,527,70.0,71.125,
A41/42,528,70.15625,71.1875,
A41/42,529,71.25,72.375,
A41/42,530,71.40625,72.4375,
A41/42,531,72.5,73.625,
A41/42,532,72.65625,73.6875,
A41/42,533,73.75,74.875,
A41/42,534,73.90625,74.9375,
A41/42,535,75.0,76.125,
A41/42,536,75.15625,76.1875,
A41/42,537,76.25,77.375,
A41/42,538,76.40625,77.4375,
A41/42,539,77.5,78.625,
A41/42,540,77.65625,78.6875,
A41/42,541,78.75,79.875,
A41/42,542,78.90625,79.9375,
A41/42,543,80.0,82.25,
A41/42,544,80.15625,82.4375,
A41/42,545,80.625,82.4375,
A41/42,546,82.5,84.75,
A41/42,547,82.65625,84.9375,
A41/42,548,85.0,87.25,
A41/42,549,85.0,87.25,
