(b'MThd', 6, 1, 3, 480)
MidiEvent : delta_time = 108, status = 128, data = [67, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [72, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [72, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [60, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [60, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [67, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [67, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [72, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [72, 64], event type: Note off
MidiEvent : delta_time = 252, status = 144, data = [60, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [60, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [67, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [67, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [72, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [72, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [60, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [60, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [67, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [67, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [72, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [72, 64], event type: Note off
MidiEvent : delta_time = 252, status = 144, data = [57, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [57, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [60, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [60, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [65, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [65, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [57, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [57, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [60, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [60, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [65, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [65, 64], event type: Note off
MidiEvent : delta_time = 252, status = 144, data = [57, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [57, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [60, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [60, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [65, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [65, 64], event type: Note off
MidiEvent : delta_time = 12, status = 144, data = [57, 80], event type: Note on
MidiEvent : delta_time = 108, status = 128, data = [57, 64], event type: Note off
