pre,post,weight,delay,type
1_V_18_1,1_N_1_72,3,0,2
1_I_241_1,1_N_1_72,3,0,2
1_V_18_1,1_N_1_72,3,0,2
1_I_252_1,1_N_1_72,3,0,2
1_V_20_1,1_N_1_72,3,0,2
1_I_3_1,1_N_1_73,3,0,2
1_V_1_1,1_N_1_73,3,0,2
1_I_9_1,1_N_1_73,3,0,2
1_V_1_1,1_N_1_73,3,0,2
1_I_93_1,1_N_1_73,3,0,2
1_V_8_1,1_N_1_73,3,0,2
1_I_94_1,1_N_1_73,3,0,2
1_V_8_1,1_N_1_73,3,0,2
1_I_155_1,1_N_1_73,3,0,2
1_V_13_1,1_N_1_73,3,0,2
1_I_223_1,1_N_1_73,3,0,2
1_V_18_1,1_N_1_73,3,0,2
1_I_238_1,1_N_1_73,3,0,2
1_V_18_1,1_N_1_73,3,0,2
1_I_296_1,1_N_1_73,3,0,2
1_V_23_1,1_N_1_73,3,0,2
1_I_16_1,1_N_1_74,3,0,2
1_V_2_1,1_N_1_74,3,0,2
1_I_29_1,1_N_1_74,3,0,2
1_V_4_1,1_N_1_74,3,0,2
1_I_66_1,1_N_1_74,3,0,2
1_V_7_1,1_N_1_74,3,0,2
1_I_67_1,1_N_1_74,3,0,2
1_V_7_1,1_N_1_74,3,0,2
1_I_122_1,1_N_1_74,3,0,2
1_V_9_1,1_N_1_74,3,0,2
1_I_123_1,1_N_1_74,3,0,2
1_V_9_1,1_N_1_74,3,0,2
1_I_130_1,1_N_1_74,3,0,2
1_V_9_1,1_N_1_74,3,0,2
1_I_135_1,1_N_1_74,3,0,2
1_V_9_1,1_N_1_74,3,0,2
1_I_178_1,1_N_1_74,3,0,2
1_V_14_1,1_N_1_74,3,0,2
1_I_179_1,1_N_1_74,3,0,2
1_V_14_1,1_N_1_74,3,0,2
1_I_180_1,1_N_1_74,3,0,2
1_V_14_1,1_N_1_74,3,0,2
1_I_237_1,1_N_1_74,3,0,2
1_V_18_1,1_N_1_74,3,0,2
1_I_21_1,1_N_1_75,3,0,2
1_V_4_1,1_N_1_75,3,0,2
1_I_52_1,1_N_1_75,3,0,2
1_V_5_1,1_N_1_75,3,0,2
1_I_228_1,1_N_1_75,3,0,2
1_V_18_1,1_N_1_75,3,0,2
1_I_273_1,1_N_1_75,3,0,2
1_V_22_1,1_N_1_75,3,0,2
1_I_329_1,1_N_1_75,3,0,2
1_V_25_1,1_N_1_75,3,0,2
1_I_184_1,1_N_1_76,3,0,2
1_V_14_1,1_N_1_76,3,0,2
1_I_266_1,1_N_1_76,3,0,2
1_V_22_1,1_N_1_76,3,0,2
1_I_272_1,1_N_1_76,3,0,2
1_V_22_1,1_N_1_76,3,0,2
1_I_323_1,1_N_1_76,3,0,2
